selector,selected_tokens,query_count,order_mode,selected_variant,selected_block_n,selected_num_n_blocks,used_fallback,selected_latency_ms,best_variant,best_latency_ms,regret_pct,within_15pct,order_span_mean,order_span_p95,monotonic_fraction
h4_8_order_query_selector,2048,4,clustered_segment,N128 D64 V128 Q4 W4,128,16,False,0.03209216117858887,N128 D64 V64 Q4 W8,0.031436800956726074,2.0846911960441528,True,3.9057157039642334,1.0,1.0
selected_token_pressure_oracle,2048,4,clustered_segment,N128 D64 V64 Q4 W8,128,16,False,0.031436800956726074,N128 D64 V64 Q4 W8,0.031436800956726074,0.0,True,3.9057157039642334,1.0,1.0
h4_8_order_query_selector,2048,4,random_segment,N64 D64 V64 Q4 W4,64,32,False,0.03319808006286621,N128 D64 V64 Q4 W8,0.03266304016113281,1.6380591001142086,True,90.23790740966797,206.0,0.5134342908859253
selected_token_pressure_oracle,2048,4,random_segment,N128 D64 V64 Q4 W8,128,16,False,0.03266304016113281,N128 D64 V64 Q4 W8,0.03266304016113281,0.0,True,90.23790740966797,206.0,0.5134342908859253
h4_8_order_query_selector,2048,4,random_shuffled,N128 D64 V64 Q4 W8,128,16,False,0.03203072071075439,N64 D64 V64 Q4 W4,0.03090496063232422,3.6426517147952975,True,2770.884765625,6488.8994140625,0.5017098188400269
selected_token_pressure_oracle,2048,4,random_shuffled,N64 D64 V64 Q4 W4,64,32,False,0.03090496063232422,N64 D64 V64 Q4 W4,0.03090496063232422,0.0,True,2770.884765625,6488.8994140625,0.5017098188400269
h4_8_order_query_selector,2048,4,random_sorted,N128 D128 V64 Q4 W4,128,16,False,0.0323033595085144,N64 D64 V64 Q4 W4,0.03118783950805664,3.576778699818539,True,3.9980459213256836,11.0,1.0
selected_token_pressure_oracle,2048,4,random_sorted,N64 D64 V64 Q4 W4,64,32,False,0.03118783950805664,N64 D64 V64 Q4 W4,0.03118783950805664,0.0,True,3.9980459213256836,11.0,1.0
h4_8_order_query_selector,512,4,clustered_segment,N128 D128 V64 Q4 W4,128,4,False,0.034201600551605225,N128 D64 V64 Q4 W8,0.03153343915939331,8.461371367471404,True,15.352250099182129,152.0,1.0
selected_token_pressure_oracle,512,4,clustered_segment,N128 D64 V64 Q4 W8,128,4,False,0.03153343915939331,N128 D64 V64 Q4 W8,0.03153343915939331,0.0,True,15.352250099182129,152.0,1.0
h4_8_order_query_selector,512,4,random_segment,N64 D64 V64 Q4 W4,64,8,False,0.033191680908203125,N128 D64 V64 Q4 W8,0.03190783977508545,4.023591512829827,True,95.54402923583984,229.0,0.534246563911438
selected_token_pressure_oracle,512,4,random_segment,N128 D64 V64 Q4 W8,128,4,False,0.03190783977508545,N128 D64 V64 Q4 W8,0.03190783977508545,0.0,True,95.54402923583984,229.0,0.534246563911438
h4_8_order_query_selector,512,4,random_shuffled,N128 D64 V64 Q4 W8,128,4,False,0.0349183988571167,N128 D64 V64 Q4 W4,0.03176768064498901,9.917998884897106,True,2862.684814453125,6332.0,0.49510762095451355
selected_token_pressure_oracle,512,4,random_shuffled,N128 D64 V64 Q4 W4,128,4,False,0.03176768064498901,N128 D64 V64 Q4 W4,0.03176768064498901,0.0,True,2862.684814453125,6332.0,0.49510762095451355
h4_8_order_query_selector,512,4,random_sorted,N128 D128 V64 Q4 W4,128,4,False,0.031454079151153565,N64 D64 V64 Q4 W4,0.030266880989074707,3.9224331126401557,True,15.988258361816406,45.0,1.0
selected_token_pressure_oracle,512,4,random_sorted,N64 D64 V64 Q4 W4,64,8,False,0.030266880989074707,N64 D64 V64 Q4 W4,0.030266880989074707,0.0,True,15.988258361816406,45.0,1.0
