selected_tokens,order_mode,variant_id,status,shared_proxy,static_feasible,num_n_blocks,triton_grouped_ms,grouped_vs_flat_speedup,required_shared_bytes,error_type
2048,clustered_segment,N128 D64 V64 Q4 W4,ok,65536,True,16,0.037048320770263675,2.7053620291196605,,
2048,clustered_segment,N128 D64 V128 Q4 W4,ok,98304,True,16,0.03209216117858887,3.123165177214276,,
2048,clustered_segment,N256 D64 V64 Q4 W4,failed,131072,False,8,,,133120,OutOfResources
2048,clustered_segment,N128 D128 V64 Q4 W4,ok,98304,True,16,0.03260416030883789,3.0741205817022026,,
2048,clustered_segment,N128 D64 V64 Q4 W8,ok,65536,True,16,0.031436800956726074,3.188273526701579,,
2048,clustered_segment,N64 D64 V64 Q4 W4,ok,32768,True,32,0.03164160013198852,3.16763753528345,,
2048,random_segment,N128 D64 V64 Q4 W4,ok,65536,True,16,0.051569919586181644,2.552359150202182,,
2048,random_segment,N128 D64 V128 Q4 W4,ok,98304,True,16,0.035209600925445554,3.7383257029720456,,
2048,random_segment,N256 D64 V64 Q4 W4,failed,131072,False,8,,,133120,OutOfResources
2048,random_segment,N128 D128 V64 Q4 W4,ok,98304,True,16,0.03651711940765381,3.6044725943907148,,
2048,random_segment,N128 D64 V64 Q4 W8,ok,65536,True,16,0.03266304016113281,4.029782760014108,,
2048,random_segment,N64 D64 V64 Q4 W4,ok,32768,True,32,0.03319808006286621,3.9648363966147198,,
2048,random_shuffled,N128 D64 V64 Q4 W4,ok,65536,True,16,0.03557440042495728,3.7489251547401197,,
2048,random_shuffled,N128 D64 V128 Q4 W4,ok,98304,True,16,0.03161407947540283,4.218555998813265,,
2048,random_shuffled,N256 D64 V64 Q4 W4,failed,131072,False,8,,,133120,OutOfResources
2048,random_shuffled,N128 D128 V64 Q4 W4,ok,98304,True,16,0.03381759881973267,3.943679305229105,,
2048,random_shuffled,N128 D64 V64 Q4 W8,ok,65536,True,16,0.03203072071075439,4.163682916230544,,
2048,random_shuffled,N64 D64 V64 Q4 W4,ok,32768,True,32,0.03090496063232422,4.315351383377255,,
2048,random_sorted,N128 D64 V64 Q4 W4,ok,65536,True,16,0.034959359169006346,2.919687338582003,,
2048,random_sorted,N128 D64 V128 Q4 W4,ok,98304,True,16,0.03276416063308716,3.1153063700832866,,
2048,random_sorted,N256 D64 V64 Q4 W4,failed,131072,False,8,,,133120,OutOfResources
2048,random_sorted,N128 D128 V64 Q4 W4,ok,98304,True,16,0.0323033595085144,3.1597456080004664,,
2048,random_sorted,N128 D64 V64 Q4 W8,ok,65536,True,16,0.032130560874938964,3.176738766807549,,
2048,random_sorted,N64 D64 V64 Q4 W4,ok,32768,True,32,0.03118783950805664,3.2727627158758787,,
512,clustered_segment,N128 D64 V64 Q4 W4,ok,65536,True,4,0.03364351987838745,2.8221350332698725,,
512,clustered_segment,N128 D64 V128 Q4 W4,ok,98304,True,4,0.036760959625244144,2.582809509306383,,
512,clustered_segment,N256 D64 V64 Q4 W4,failed,131072,False,2,,,133120,OutOfResources
512,clustered_segment,N128 D128 V64 Q4 W4,ok,98304,True,4,0.034201600551605225,2.776085170284592,,
512,clustered_segment,N128 D64 V64 Q4 W8,ok,65536,True,4,0.03153343915939331,3.010980046019672,,
512,clustered_segment,N64 D64 V64 Q4 W4,ok,32768,True,8,0.031974399089813234,2.9694555267360045,,
512,random_segment,N128 D64 V64 Q4 W4,ok,65536,True,4,0.05025919914245605,2.065643667366912,,
512,random_segment,N128 D64 V128 Q4 W4,ok,98304,True,4,0.04632319927215576,2.241157736658103,,
512,random_segment,N256 D64 V64 Q4 W4,failed,131072,False,2,,,133120,OutOfResources
512,random_segment,N128 D128 V64 Q4 W4,ok,98304,True,4,0.04867584228515625,2.132836157767036,,
512,random_segment,N128 D64 V64 Q4 W8,ok,65536,True,4,0.03190783977508545,3.2536704824690332,,
512,random_segment,N64 D64 V64 Q4 W4,ok,32768,True,8,0.033191680908203125,3.1278197908286405,,
512,random_shuffled,N128 D64 V64 Q4 W4,ok,65536,True,4,0.03176768064498901,3.156516300893456,,
512,random_shuffled,N128 D64 V128 Q4 W4,ok,98304,True,4,0.032707839012145995,3.0657849869032416,,
512,random_shuffled,N256 D64 V64 Q4 W4,failed,131072,False,2,,,133120,OutOfResources
512,random_shuffled,N128 D128 V64 Q4 W4,ok,98304,True,4,0.03635200023651123,2.7584507357251535,,
512,random_shuffled,N128 D64 V64 Q4 W8,ok,65536,True,4,0.0349183988571167,2.8717010252332438,,
512,random_shuffled,N64 D64 V64 Q4 W4,ok,32768,True,8,0.03233792066574097,3.100854963248074,,
512,random_sorted,N128 D64 V64 Q4 W4,ok,65536,True,4,0.03556735992431641,2.9923885402578567,,
512,random_sorted,N128 D64 V128 Q4 W4,ok,98304,True,4,0.030595200061798097,3.478694698180573,,
512,random_sorted,N256 D64 V64 Q4 W4,failed,131072,False,2,,,133120,OutOfResources
512,random_sorted,N128 D128 V64 Q4 W4,ok,98304,True,4,0.031454079151153565,3.3837061238795685,,
512,random_sorted,N128 D64 V64 Q4 W8,ok,65536,True,4,0.031048319339752196,3.427926615933873,,
512,random_sorted,N64 D64 V64 Q4 W4,ok,32768,True,8,0.030266880989074707,3.5164297333170538,,
