metric,value
status,ok
device,cuda
matrix_size,2048
vector_rows,65536
vector_cols,256
warmup,20
iters,100
isolated_ms.compute_gemm,0.11520000457763672
isolated_ms.elementwise,0.10462207794189453
isolated_ms.reduction,0.015491839647293091
sum_isolated_ms,0.23531392216682434
serial_ms,0.23079679489135743
multistream_ms,0.22121728897094728
cuda_graph_serial_ms,0.235100154876709
overlap_ratio,0.059905648871397155
serial_speedup,1.0433036041846993
graph_speedup,0.9816956310062479
finite_outputs,True
