load_class,shape_label,n_elements,variant_id,block_size,warps,isolated_ms,background_only_ms,step_ms,overlap_ratio
idle,small,262144,B512_W4,512,4,0.059776000678539276,0.0,0.14953599870204926,0.0
compute,small,262144,B512_W4,512,4,0.059776000678539276,0.055535998195409775,0.38596799969673157,-2.3471625109772365
memory,small,262144,B512_W4,512,4,0.059776000678539276,0.057679999619722366,0.27345600724220276,-1.32815698259606
idle,small,262144,B1024_W4,1024,4,0.052799999713897705,0.0,0.18192000687122345,0.0
compute,small,262144,B1024_W4,1024,4,0.052799999713897705,0.055535998195409775,0.28352001309394836,-1.617043444149512
memory,small,262144,B1024_W4,1024,4,0.052799999713897705,0.057679999619722366,0.25571200251579285,-1.314554707260732
idle,large,524288,B512_W4,512,4,0.06976000219583511,0.0,0.18321600556373596,0.0
compute,large,524288,B512_W4,512,4,0.06976000219583511,0.055535998195409775,0.2847200036048889,-1.2723790281879088
memory,large,524288,B512_W4,512,4,0.06976000219583511,0.057679999619722366,0.38278400897979736,-2.003640956736618
idle,large,524288,B1024_W4,1024,4,0.06648000329732895,0.0,0.1754560023546219,0.0
compute,large,524288,B1024_W4,1024,4,0.06648000329732895,0.055535998195409775,0.28993600606918335,-1.376212976348333
memory,large,524288,B1024_W4,1024,4,0.06648000329732895,0.057679999619722366,0.2571040093898773,-1.0707474496569005
