load_class,shape_label,n_elements,variant_id,block_size,warps,isolated_ms,background_only_ms,step_ms,overlap_ratio
idle,small,262144,B512_W4,512,4,0.030719999223947525,0.0,0.09499199688434601,0.0
compute,small,262144,B512_W4,512,4,0.030719999223947525,0.01817600056529045,0.15564799308776855,-2.1832459456535487
memory,small,262144,B512_W4,512,4,0.030719999223947525,0.012543999589979649,0.1377280056476593,-2.183432170475261
idle,small,262144,B1024_W4,1024,4,0.02630399912595749,0.0,0.09108000248670578,0.0
compute,small,262144,B1024_W4,1024,4,0.02630399912595749,0.01817600056529045,0.595408022403717,-12.38597181961923
memory,small,262144,B1024_W4,1024,4,0.02630399912595749,0.012543999589979649,0.13619199395179749,-2.505766022791944
idle,large,524288,B512_W4,512,4,0.02643200010061264,0.0,0.07813599705696106,0.0
compute,large,524288,B512_W4,512,4,0.02643200010061264,0.01817600056529045,0.12624000012874603,-1.8299856134381693
memory,large,524288,B512_W4,512,4,0.02643200010061264,0.012543999589979649,0.11363200098276138,-1.9154351879315352
idle,large,524288,B1024_W4,1024,4,0.07088000327348709,0.0,0.07321599870920181,0.0
compute,large,524288,B1024_W4,1024,4,0.07088000327348709,0.01817600056529045,0.1382399946451187,-0.5522815833436829
memory,large,524288,B1024_W4,1024,4,0.07088000327348709,0.012543999589979649,0.137472003698349,-0.6478711039955516
