repeat,policy,event_ms,wall_ms
0,static_best_average,2.266400098800659,2.260531997308135
0,resource_aware,2.2423360347747803,2.21055094152689
1,static_best_average,2.263904094696045,2.2815100383013487
1,resource_aware,2.2549760341644287,2.2083070361986756
2,static_best_average,2.3519680500030518,2.222093055024743
2,resource_aware,2.217855930328369,2.277927938848734
3,static_best_average,2.248415946960449,2.387413987889886
3,resource_aware,2.227679967880249,2.278642961755395
4,static_best_average,2.2704639434814453,2.25524406414479
4,resource_aware,2.348543882369995,2.2822179598733783
5,static_best_average,2.272063970565796,2.2308030165731907
5,resource_aware,2.2061119079589844,2.3129230830818415
6,static_best_average,2.2815680503845215,2.2673991043120623
6,resource_aware,2.224224090576172,2.1596660371869802
7,static_best_average,2.3392961025238037,2.2059549810364842
7,resource_aware,2.19980788230896,2.276247018016875
8,static_best_average,2.246272087097168,2.386415028013289
8,resource_aware,2.235327959060669,2.246924093924463
9,static_best_average,2.258847951889038,2.265340997837484
9,resource_aware,2.357759952545166,2.2260419791564345
10,static_best_average,2.2444798946380615,2.264366950839758
10,resource_aware,2.2745919227600098,2.399273100309074
11,static_best_average,2.2416000366210938,2.2737050894647837
11,resource_aware,2.201280117034912,2.1696879994124174
12,static_best_average,2.3350720405578613,2.2297620307654142
12,resource_aware,2.2085440158843994,2.248157048597932
13,static_best_average,2.2576000690460205,2.299763960763812
13,resource_aware,2.2205119132995605,2.154774032533169
14,static_best_average,2.2624640464782715,2.2539719939231873
14,resource_aware,2.3102400302886963,2.2403120528906584
15,static_best_average,2.2881920337677,2.2008110536262393
15,resource_aware,2.1596479415893555,2.3860569344833493
16,static_best_average,2.339456081390381,2.2838679142296314
16,resource_aware,2.238816022872925,2.3224959149956703
17,static_best_average,2.383903980255127,2.2166860289871693
17,resource_aware,2.2323200702667236,2.1664330270141363
18,static_best_average,2.266079902648926,2.3833400337025523
18,resource_aware,2.26092791557312,2.2554639726877213
19,static_best_average,2.241663932800293,2.2305980091914535
19,resource_aware,2.35699200630188,2.26155505515635
20,static_best_average,2.265216112136841,2.275642938911915
20,resource_aware,2.26198410987854,2.33969499822706
21,static_best_average,2.2674560546875,2.284109010361135
21,resource_aware,2.2043519020080566,2.207164070568979
22,static_best_average,2.3518080711364746,2.2983530070632696
22,resource_aware,2.2086079120635986,2.230001031421125
23,static_best_average,2.2310080528259277,2.3810670245438814
23,resource_aware,2.243040084838867,2.1842849673703313
